"","taxan","gene.ID","t","N","S","dnds","dN","ds","NdN","SdS","lnl","taxa"
"1","1","NC_006127_-_ERMP1_CDS","0.185","1714.7","655.3","0.1732","0.0266","0.1534","45.5","100.5","-6103.491137","GGA"
"2","1","NC_006127_-_ARSB_CDS","0.125","610.2","229.8","0.1147","0.0134","0.1167","8.2","26.8","-1930.868356","GGA"
"3","1","NC_006127_-_ALDOB_CDS","0.189","772.8","319.2","0.1003","0.0174","0.1732","13.4","55.3","-2512.12693","GGA"
"4","1","NC_006127_-_GPX8_CDS","0.183","454.1","172.9","0.1348","0.022","0.1633","10","28.2","-1397.107348","GGA"
"5","1","NC_006127_-_CD274_CDS","0.563","613","212","0.1936","0.0906","0.4679","55.5","99.2","-2465.067054","GGA"
"6","1","NC_006127_-_FOXE1_CDS","0.068","223.1","103.9","0.1649","0.0087","0.0529","1.9","5.5","-961.675875","GGA"
"7","1","NC_006127_-_DNAJA1_CDS","0.178","878","313","0.0326","0.0067","0.2064","5.9","64.6","-2642.684914","GGA"
"8","1","NC_006127_-_APTX_CDS","0.041","745.2","259.8","0.2483","0.0076","0.0306","5.7","7.9","-2744.3134","GGA"
"9","1","NC_006127_-_C9ORF72_CDS","0.115","1041.3","401.7","0.0495","0.006","0.1223","6.3","49.1","-2881.215021","GGA"
"10","1","NC_006127_-_DIMT1_CDS","10.504","60.9","26.1","0.0733","0.7301","9.9539","44.4","260.2","-321.405928","GGA"
"11","1","NC_006127_-_CNTNAP4_CDS","0.225","1586.7","573.3","0.2691","0.0435","0.1618","69.1","92.8","-4743.374356","GGA"
"12","1","NC_006127_-_IL6ST_CDS","0.221","2001.7","740.3","0.2414","0.0399","0.1654","79.9","122.4","-7131.635468","GGA"
"13","1","NC_006127_-_ATP5A1_CDS","0.137","1128.8","470.2","0.0154","0.0023","0.1503","2.6","70.7","-3412.830604","GGA"
"14","1","NC_006127_-_AP3B1_CDS","0.169","1781.3","630.7","0.2092","0.0283","0.135","50.3","85.2","-5587.145525","GGA"
